(0, 0)
(0, 8)
(8, 8)
(8, 0)
(16, 0)
(24, 0)
(24, 8)
(16, 8)
(16, 16)
(24, 16)
(24, 24)
(16, 24)
(8, 24)
(8, 16)
(0, 16)
(0, 24)
(0, 32)
(8, 32)
(8, 40)
(0, 40)
(0, 48)
(8, 48)
(16, 48)
(24, 48)
(24, 40)
(16, 40)
(16, 32)
(24, 32)
(32, 32)
(32, 40)
(32, 48)
(40, 48)
(40, 40)
(40, 32)
(48, 32)
(48, 40)
(48, 48)
(56, 48)
(64, 48)
(64, 40)
(56, 40)
(56, 32)
(64, 32)
(64, 24)
(64, 16)
(56, 16)
(56, 24)
(48, 24)
(48, 16)
(40, 16)
(40, 24)
(32, 24)
(32, 16)
(32, 8)
(32, 0)
(40, 0)
(40, 8)
(48, 8)
(48, 0)
(56, 0)
(56, 8)
(64, 8)
(64, 0)
63
